point_name,point_type,connection_level,max_export_capacity_mw,latitude,longitude,mapped_bus,mapped_bus_kv,mapping_distance_km,mapping_quality,market_bucket,semo_dispatch_join_candidate
Ballylumford Power Station GT1,Power station unit,Transmission - 110 kV,58.0,54.842634,-5.784915,70510,110.0,0.1751605657028258,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Ballylumford Power Station GT2,Power station unit,Transmission - 110 kV,58.0,54.842634,-5.784915,70510,110.0,0.1751605657028258,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Ballylumford Power Station BT10,Power station unit,Transmission - 110 kV,98.4,54.842634,-5.784915,70510,110.0,0.1751605657028258,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Ballylumford Power Station BGT20,Power station unit,Transmission - 275 kV,479.0,54.842634,-5.784915,70520,275.0,0.2902684192871413,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station K1,Power station unit,Transmission - 275 kV,255.26,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station K2,Power station unit,Transmission - 275 kV,257.92,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station KGT1,Power station unit,Transmission - 275 kV,29.0,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station KGT2,Power station unit,Transmission - 275 kV,29.0,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Coolkeeragh Power Station GT8,Power station unit,Transmission - 110 kV,53.0,55.043724,-7.249949,75510,110.0,0.22630008866226903,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Owenreagh Wind Farm,Wind farm,Distribution - 33 kV,5.5,54.812527,-7.342073,89510,110.0,7.20821134964687,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Lendrum's Bridge Wind Farm,Wind farm,Distribution - 33 kV,13.2,54.438477,-7.342706,76810,110.0,10.497614034774537,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Altahullion Wind Farm,Wind farm,Distribution - 33 kV,26.0,54.962331,-7.033634,83510,110.0,10.189934926611155,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Snugborough Wind Farm,Wind farm,Distribution - 33 kV,13.5,54.142851,-7.609639,70010,110.0,2.725105266538603,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Tappaghan Wind Farm,Wind farm,Distribution - 33 kV,28.5,54.5612,-7.551037,77210,110.0,4.460284012616374,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Coolkeeragh Power Station GS,Power station unit,Transmission - 110 kV,147.0,55.043724,-7.249949,75510,110.0,0.22630008866226903,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Coolkeeragh Power Station GT,Power station unit,Transmission - 275 kV,266.0,55.043724,-7.249949,75520,275.0,0.22630008866226903,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Callagheen Wind Farm,Wind farm,Distribution - 33 kV,16.9,54.442754,-8.01448,79010,110.0,26.106119679643868,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Bin Mountain Wind Farm,Wind farm,Distribution - 33 kV,9.0,54.616469,-7.632094,77210,110.0,10.45038543267448,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Lough Hill Wind Farm,Wind farm,Distribution - 33 kV,7.8,54.627825,-7.609402,77210,110.0,9.84984016353282,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Altahullion 2 Wind Farm,Wind farm,Distribution - 33 kV,11.7,54.958781,-7.034578,83510,110.0,10.504216745189309,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Slieve Rushen 2 Wind Farm,Wind farm,Distribution - 33 kV,54.0,54.162505,-7.617123,70010,110.0,2.083315892308155,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Wolf Bog Wind Farm,Wind farm,Distribution - 33 kV,10.0,54.802964,-6.086314,80511,110.0,5.066987214352651,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Bessy Bell 2 Wind Farm,Wind farm,Distribution - 33 kV,9.0,54.680476,-7.386488,85510,110.0,13.270447890414848,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Owenreagh 2 Wind Farm,Wind farm,Distribution - 33 kV,5.1,54.809594,-7.336241,89510,110.0,7.703572062921716,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Slieve Divena 1 Wind Farm,Wind farm,Distribution - 33 kV,30.0,54.508857,-7.09816,80710,110.0,2.9039231790549125,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Garves Wind Farm,Wind farm,Distribution - 33 kV,15.0,55.000707,-6.449401,87900,110.0,7.639637811132731,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Gruig Wind Farm,Wind farm,Distribution - 33 kV,25.0,55.025267,-6.255606,87900,110.0,19.418496904881287,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station KGT3,Power station unit,Transmission - 275 kV,42.0,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Kilroot Power Station KGT4,Power station unit,Transmission - 275 kV,42.0,54.724932,-5.767917,82020,275.0,0.24496436456334097,high,thermal,Yes for applicable dispatchable units; unit-name mapping required
Hunters Hill Wind Farm,Wind farm,Distribution - 33 kV,20.0,54.438618,-7.332378,76810,110.0,10.68785137213144,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Crockagarran Wind Farm,Wind farm,Distribution - 33 kV,18.0,54.554098,-7.020671,90210,110.0,2.732145361932163,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Curryfree Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.930121,-7.310936,81810,110.0,2.6301387827044795,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Screggagh Wind Farm,Wind farm,Distribution - 33 kV,20.0,54.453415,-7.339121,76810,110.0,8.992727679244872,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Slieve Kirk Wind Farm,Wind farm,Transmission - 110 kV,73.6,54.917775,-7.266002,81810,110.0,5.711026680607745,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Church Hill Wind Farm,Wind farm,Distribution - 33 kV,18.4,54.654753,-7.718309,77210,110.0,17.357855214912846,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Crighshane Wind Farm,Wind farm,Distribution - 33 kV,32.2,54.642407,-7.79754,77210,110.0,21.389763050926017,low,wind,Yes for applicable dispatchable units; unit-name mapping required
