point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,notes
Ballylumford Power Station GT1,Power station unit,Transmission - 110 kV,342348,401678,54.842634,-5.784915,58.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ballylumford Power Station GT2,Power station unit,Transmission - 110 kV,342348,401678,54.842634,-5.784915,58.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ballylumford Power Station BT10,Power station unit,Transmission - 110 kV,342348,401678,54.842634,-5.784915,98.4,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Ballylumford Power Station BGT20,Power station unit,Transmission - 275 kV,342348,401678,54.842634,-5.784915,479.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station K1,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,255.26,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station K2,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,257.92,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station KGT1,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,29.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Kilroot Power Station KGT2,Power station unit,Transmission - 275 kV,343857,388613,54.724932,-5.767917,29.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Coolkeeragh Power Station GT8,Power station unit,Transmission - 110 kV,247996,422072,55.043724,-7.249949,53.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Owenreagh Wind Farm,Wind farm,Distribution - 33 kV,242349,396275,54.812527,-7.342073,5.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Lendrum's Bridge Wind Farm,Wind farm,Distribution - 33 kV,242698,354636,54.438477,-7.342706,13.2,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Altahullion Wind Farm,Wind farm,Distribution - 33 kV,261949,413181,54.962331,-7.033634,26.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Snugborough Wind Farm,Wind farm,Distribution - 33 kV,225560,321600,54.142851,-7.609639,13.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Tappaghan Wind Farm,Wind farm,Distribution - 33 kV,229093,368191,54.5612,-7.551037,28.5,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Coolkeeragh Power Station GS,Power station unit,Transmission - 110 kV,247996,422072,55.043724,-7.249949,147.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Coolkeeragh Power Station GT,Power station unit,Transmission - 275 kV,247996,422072,55.043724,-7.249949,266.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Callagheen Wind Farm,Wind farm,Distribution - 33 kV,199109,354913,54.442754,-8.01448,16.9,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Bin Mountain Wind Farm,Wind farm,Distribution - 33 kV,223817,374313,54.616469,-7.632094,9.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Lough Hill Wind Farm,Wind farm,Distribution - 33 kV,225276,375585,54.627825,-7.609402,7.8,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Altahullion 2 Wind Farm,Wind farm,Distribution - 33 kV,261894,412785,54.958781,-7.034578,11.7,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
Slieve Rushen 2 Wind Farm,Wind farm,Distribution - 33 kV,225059,323785,54.162505,-7.617123,54.0,Not generally published by SONI at individual connection point,Yes for applicable dispatchable units; unit-name mapping required,Exact electrical connection point from SONI Connections Register; WGS84 converted from Irish Grid,2024-03-25,https://cms.soni.ltd.uk/sites/default/files/media/documents/20240325-Connections-Register-25-March-2024.pdf,"MEC is connection/export capacity, not actual generation at a timestamp."
