point_name,point_type,connection_level,irish_grid_easting_m,irish_grid_northing_m,latitude,longitude,max_export_capacity_mw,capacity_basis,time_series_actual_mw_public,semo_dispatch_join_candidate,coordinate_quality,source_date,source_url,jurisdiction,bus,associated_110kv_station,station_nc,wdt_groups,wdt_group_labels,group_source_url,notes
Altagowtan,Wind farm,Associated 110 kV station per EirGrid controllability list,,,54.1988681,-8.1976390,7.65,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1631,Corderry,CORDERRY,"(3, 4, 5, 7, 8, 9, 40)",IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Athea,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.4375500,-9.3004089,34.35,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1131,Athea,ATHEA,"(9, 17, 25, 40)",IE-W-2|IE-SW-1|IE-SW-7|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballincollig Hill,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2890467,-9.6740021,13.3,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5281,Tralee,TRALEE,"(9, 17, 40)",IE-W-2|IE-SW-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballybane 1 & 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.7239932,-9.4296621,29.9,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1281,Ballylickey,BALLYLICKEY,"(9, 17, 22, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-4|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballybane Phase 2a,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.7239932,-9.4296621,13.8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1281,Ballylickey,BALLYLICKEY,"(9, 17, 22, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-4|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballybane 3,Wind farm,Associated 110 kV station per EirGrid controllability list,,,51.7239932,-9.4296621,4.6,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,1281,Ballylickey,BALLYLICKEY,"(9, 17, 22, 23, 26, 31, 40)",IE-W-2|IE-SW-1|IE-SW-4|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballycadden Phase 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5791650,-6.5358105,15,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,36411,Crory,CRORY,"(30, 33, 40)",IE-SE-1|IE-SE-4|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballycadden Phase 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.5791650,-6.5358105,11.5,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,36411,Crory,CRORY,"(30, 33, 40)",IE-SE-1|IE-SE-4|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballymartin Phase 1,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2633036,-7.1249367,7,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5441,Waterford,WATERFORD,"(30, 40)",IE-SE-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
Ballymartin Phase 2,Wind farm,Associated 110 kV station per EirGrid controllability list,,,52.2633036,-7.1249367,8,Published installed capacity MW; not asserted to equal MEC,Not provided by the January 2024 controllability list,Yes; market-unit mapping may be required,SV2024 electrical station coordinate; not plant centroid,2024-01,https://cms.eirgrid.ie/sites/default/files/publications/Controllability-Status-Update-2024-01-January.pdf,IE,5441,Waterford,WATERFORD,"(30, 40)",IE-SE-1|IE-ALL,https://cms.eirgrid.ie/sites/default/files/publications/Wind-Dispatch-Tool-Constraint-Group-Overview_1.pdf,Plant/capacity/station from official controllability update; bus and coordinates attached from SV2024 all-island network.
