node_id,name,bus,groups,group,group_labels,station_nc,jurisdiction,v_nom_kv,latitude,longitude,membership_count,source
0,Ardnacrusha,1021,"(8, 9, 17, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-ALL,ARDNACRUSHA,IE,110.0,52.7049873,-8.6163685,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
1,Ardnagappary,1571,"(1, 3, 4, 5, 6, 9, 40)",1,IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,ARDNAGAPPARY,IE,110.0,55.0566404,-8.2688178,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
2,Arklow,1121,"(30, 40)",30,IE-SE-1|IE-ALL,ARKLOW,IE,110.0,52.8151839,-6.147732,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
3,Athea,1131,"(9, 17, 25, 40)",9,IE-W-2|IE-SW-1|IE-SW-7|IE-ALL,ATHEA,IE,110.0,52.43755,-9.3004089,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
4,Ballylickey,1281,"(9, 17, 22, 23, 26, 31, 40)",9,IE-W-2|IE-SW-1|IE-SW-4|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,BALLYLICKEY,IE,110.0,51.7239932,-9.4296621,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
5,Ballywater,1231,"(30, 33, 40)",30,IE-SE-1|IE-SE-4|IE-ALL,BALLYWATER,IE,110.0,52.5378526,-6.2495207,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
6,Bandon,1441,"(9, 17, 31, 40)",9,IE-W-2|IE-SW-1|IE-SE-2|IE-ALL,BANDON,IE,110.0,51.7739278,-8.733195,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
7,Banoge,1541,"(30, 33, 40)",30,IE-SE-1|IE-SE-4|IE-ALL,BANOGE,IE,110.0,52.6502648,-6.2725523,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
8,Barrymore,1461,"(9, 29, 31, 40)",9,IE-W-2|IE-SW-11|IE-SE-2|IE-ALL,BARRYMORE,IE,110.0,52.0958683,-8.2546807,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
9,Binbane,1341,"(1, 3, 4, 5, 6, 9, 40)",1,IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,BINBANE,IE,110.0,54.7189369,-8.2634291,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
