temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.3661583704029879,6.452824590842731,6.368306676624311,10,1.0,0,21
2,0.362496786698958,6.5538909207660945,6.368306676624311,10,1.0,0,31
3,0.35887181883196845,5.375523312667101,5.351988345446733,10,1.0,1,41
4,0.35528310064364876,3.7109606860024327,3.7109606860024327,10,1.0,4,51
5,0.35173026963721227,3.7668284313227653,3.7109606860024327,10,1.0,0,61
6,0.34821296694084014,3.7704848821326946,3.7109606860024327,10,1.0,0,71
7,0.3447308372714317,3.761797639347008,3.688777151132782,10,1.0,1,81
8,0.3412835288987174,3.765024387173853,3.688777151132782,10,1.0,0,91
9,0.3378706936097302,3.764755839176289,3.688777151132782,10,1.0,0,101
10,0.3344919866736329,3.76037257010233,3.688777151132782,9,0.9,0,111
11,0.33114706680689654,3.758803928307776,3.688777151132782,10,1.0,0,121
12,0.32783559613882757,3.762478926187606,3.688777151132782,10,1.0,0,131
13,0.3245572401774393,3.7653739502975494,3.688777151132782,10,1.0,0,141
14,0.3213116677756649,3.724831389114755,3.688777151132782,10,1.0,0,151
15,0.31809855109790824,3.7323976578753495,3.688777151132782,10,1.0,0,161
16,0.3149175655869292,3.7481867136817817,3.688777151132782,10,1.0,0,171
17,0.3117683899310599,3.7368638922072197,3.688777151132782,10,1.0,0,181
18,0.30865070603174927,3.7502974392758084,3.688777151132782,10,1.0,0,191
19,0.3055641989714318,3.7502974392758084,3.688777151132782,9,0.9,0,201
20,0.30250855698171747,3.743026045887395,3.688777151132782,10,1.0,0,211
21,0.2994834714119003,3.743026045887395,3.688777151132782,10,1.0,0,221
22,0.2964886366977813,3.7483547741156023,3.688777151132782,10,1.0,0,231
23,0.29352375033080347,3.7234514350168264,3.688777151132782,10,1.0,0,241
24,0.2905885128274954,3.713659154775746,3.688777151132782,10,1.0,0,251
25,0.2876826276992205,3.787264252485135,3.688777151132782,9,0.9,0,261
26,0.2848058014222283,3.787264252485135,3.688777151132782,10,1.0,0,271
27,0.281957743408006,4.129491416328335,3.688777151132782,10,1.0,0,281
28,0.27913816597392593,4.026393071072609,3.688777151132782,10,1.0,0,291
29,0.2763467843141867,4.0032948664352865,3.688777151132782,10,1.0,0,301
30,0.27358331647104484,4.00403613783637,3.688777151132782,10,1.0,0,311
31,0.2708474833063344,4.00403613783637,3.688777151132782,10,1.0,0,321
32,0.26813900847327105,4.027940393491344,3.688777151132782,10,1.0,0,331
33,0.2654576183885383,4.040156450859782,3.688777151132782,9,0.9,0,341
34,0.26280304220465295,4.040209136375548,3.688777151132782,10,1.0,0,351
35,0.26017501178260644,4.039326400702988,3.688777151132782,10,1.0,0,361
36,0.2575732616647804,4.064852517350007,3.688777151132782,10,1.0,0,371
37,0.2549975290481326,4.096189117002947,3.688777151132782,10,1.0,0,381
38,0.25244755375765127,4.041478223199816,3.688777151132782,10,1.0,0,391
39,0.24992307822007476,4.0289550403390315,3.688777151132782,9,0.9,0,401
40,0.24742384743787402,4.0435303913892415,3.688777151132782,10,1.0,0,411
41,0.24494960896349527,3.756585499123847,3.688777151132782,9,0.9,0,421
42,0.2425001128738603,3.845135673075412,3.688777151132782,10,1.0,0,431
43,0.2400751117451217,3.8208943045884753,3.688777151132782,10,1.0,0,441
44,0.23767436062767047,3.8263770941242266,3.688777151132782,10,1.0,0,451
45,0.23529761702139376,3.8235474854129627,3.688777151132782,10,1.0,0,461
46,0.23294464085117983,3.768455820612513,3.688777151132782,10,1.0,0,471
47,0.23061519444266804,3.7676820161250673,3.688777151132782,10,1.0,0,481
48,0.22830904249824135,3.7679212693097144,3.688777151132782,10,1.0,0,491
49,0.22602595207325893,3.7679212693097144,3.688777151132782,10,1.0,0,501
50,0.22376569255252635,4.248483224014241,3.688777151132782,10,1.0,0,511
51,0.22152803562700107,4.271289411186882,3.688777151132782,10,1.0,0,521
52,0.21931275527073107,4.275850099294777,3.688777151132782,10,1.0,0,531
53,0.21711962771802376,4.265603169199924,3.688777151132782,10,1.0,0,541
54,0.21494843144084352,4.249615746918658,3.688777151132782,9,0.9,0,551
55,0.21279894712643507,4.242685793779547,3.688777151132782,9,0.9,0,561
56,0.21067095765517072,4.232925176972368,3.688777151132782,10,1.0,0,571
57,0.208564248078619,4.23839861985596,3.688777151132782,10,1.0,0,581
58,0.20647860559783282,3.7677797162812374,3.688777151132782,10,1.0,0,591
59,0.2044138195418545,3.7479044165993223,3.688777151132782,9,0.9,0,601
60,0.20236968134643596,3.774777322217082,3.688777151132782,10,1.0,0,611
61,0.2003459845329716,3.765361405064939,3.688777151132782,10,1.0,0,621
62,0.19834252468764188,3.9338905789672114,3.688777151132782,8,0.8,0,631
63,0.19635909944076546,3.9522522426340303,3.688777151132782,10,1.0,0,641
64,0.1943955084463578,3.8857791256616494,3.688777151132782,10,1.0,0,651
65,0.19245155336189423,3.8717812085857437,3.688777151132782,10,1.0,0,661
66,0.1905270378282753,3.8672888252401934,3.688777151132782,10,1.0,0,671
67,0.18862176744999254,3.871364118664413,3.688777151132782,10,1.0,0,681
68,0.18673554977549262,3.8895313814986214,3.688777151132782,9,0.9,0,691
69,0.18486819427773768,3.899583329010827,3.688777151132782,10,1.0,0,701
70,0.1830195123349603,3.8976798102506987,3.688777151132782,10,1.0,0,711
71,0.1811893172116107,3.8891542119318454,3.688777151132782,9,0.9,0,721
72,0.17937742403949458,3.9237570861951263,3.688777151132782,10,1.0,0,731
73,0.17758364979909963,3.911300945340079,3.688777151132782,10,1.0,0,741
74,0.17580781330110865,3.878417294069927,3.688777151132782,9,0.9,0,751
75,0.17404973516809755,3.8786234863144893,3.688777151132782,9,0.9,0,761
76,0.17230923781641658,3.881253255665255,3.688777151132782,9,0.9,0,771
77,0.1705861454382524,3.8642661822710695,3.688777151132782,10,1.0,0,781
78,0.16888028398386987,3.8473100972899736,3.688777151132782,9,0.9,0,791
79,0.16719148114403118,3.861678338992804,3.688777151132782,10,1.0,0,801
80,0.16551956633259088,3.86673607903099,3.688777151132782,10,1.0,0,811
81,0.16386437066926496,3.8329883825192876,3.688777151132782,10,1.0,0,821
82,0.16222572696257231,3.839133670603604,3.688777151132782,10,1.0,0,831
83,0.1606034696929466,3.8258242434685013,3.688777151132782,10,1.0,0,841
84,0.15899743499601712,3.8258242434685013,3.688777151132782,9,0.9,0,851
85,0.15740746064605696,3.813565134903784,3.688777151132782,10,1.0,0,861
86,0.15583338603959637,3.8267311233283308,3.688777151132782,10,1.0,0,871
87,0.1542750521792004,3.7940505930932584,3.688777151132782,10,1.0,0,881
88,0.1527323016574084,3.7940505930932584,3.688777151132782,10,1.0,0,891
89,0.15120497864083432,3.7973794320887158,3.688777151132782,10,1.0,0,901
90,0.14969292885442598,3.765460372152688,3.688777151132782,9,0.9,0,911
91,0.14819599956588173,3.7631121805297334,3.688777151132782,10,1.0,0,921
92,0.14671403957022291,3.8427727220706966,3.688777151132782,10,1.0,0,931
93,0.1452468991745207,3.835764935542867,3.688777151132782,10,1.0,0,941
94,0.1437944301827755,3.835764935542867,3.688777151132782,10,1.0,0,951
95,0.14235648588094774,3.850325262714342,3.688777151132782,8,0.8,0,961
96,0.14093292102213825,3.8495301746713215,3.688777151132782,10,1.0,0,971
97,0.13952359181191687,3.8340693383513558,3.688777151132782,10,1.0,0,981
98,0.1381283558937977,3.816732215147739,3.688777151132782,10,1.0,0,991
99,0.13674707233485972,3.810734874059204,3.688777151132782,10,1.0,0,1001
100,0.13537960161151114,3.828429714278796,3.688777151132782,10,1.0,0,1011
101,0.13402580559539604,3.759862234275277,3.688777151132782,9,0.9,0,1021
102,0.13268554753944206,3.759862234275277,3.688777151132782,9,0.9,0,1031
103,0.13135869206404763,3.7678274205997244,3.688777151132782,10,1.0,0,1041
104,0.13004510514340714,3.7678274205997244,3.688777151132782,10,1.0,0,1051
105,0.12874465409197308,3.7686045629101868,3.688777151132782,10,1.0,0,1061
