temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.01753509406307294,8.563303365924021,8.561540814049154,19,0.95,0,31
2,0.01735974312244221,8.352252813669002,8.351348230252825,18,0.9,1,51
3,0.017186145691217788,8.350555330800782,8.350555330800782,17,0.85,1,71
4,0.01701428423430561,8.350555330800782,8.350555330800782,19,0.95,0,91
5,0.016844141391962556,8.351025081092539,8.350555330800782,18,0.9,0,111
6,0.01667569997804293,8.351082274239534,8.350555330800782,17,0.85,0,131
7,0.0165089429782625,8.34832758555667,8.34832758555667,20,1.0,2,151
8,0.016343853548479875,8.34965874937934,8.34832758555667,17,0.85,0,171
9,0.016180415012995077,8.347553423615663,8.347553423615663,17,0.85,1,191
10,0.016018610862865126,8.350334418364778,8.347553423615663,18,0.9,0,211
11,0.015858424754236475,8.350334418364778,8.347553423615663,17,0.85,0,231
12,0.01569984050669411,8.352330272452015,8.347553423615663,17,0.85,0,251
13,0.015542842101627168,8.347706977439971,8.347553423615663,17,0.85,0,271
14,0.015387413680610897,8.33287225221886,8.331714575751743,17,0.85,2,291
15,0.015233539543804787,8.338757842024378,8.331714575751743,16,0.8,0,311
16,0.015081204148366738,8.338726984525126,8.331714575751743,17,0.85,0,331
17,0.01493039210688307,8.340008347222213,8.331714575751743,12,0.6,0,351
18,0.01478108818581424,8.341376168203475,8.331714575751743,15,0.75,0,371
19,0.014633277303956098,8.235187763137024,8.232849015809721,17,0.85,1,391
20,0.014486944530916536,8.237228240418133,8.232849015809721,17,0.85,0,411
21,0.014342075085607371,8.234499896506671,8.232849015809721,18,0.9,0,431
22,0.014198654334751298,8.234529250929489,8.232849015809721,16,0.8,0,451
23,0.014056667791403785,8.234864889763083,8.232849015809721,14,0.7,0,471
24,0.013916101113489747,8.233476999419697,8.232849015809721,19,0.95,0,491
25,0.01377694010235485,8.22678381193117,8.223872114700965,18,0.9,1,511
26,0.013639170701331301,8.232861414964535,8.222833825698505,19,0.95,1,531
27,0.013502778994317987,8.232861414964535,8.222833825698505,17,0.85,0,551
28,0.013367751204374808,8.232861414964535,8.222833825698505,19,0.95,0,571
29,0.01323407369233106,8.234529336421351,8.222833825698505,17,0.85,0,591
30,0.013101732955407749,8.234384895836689,8.222833825698505,15,0.75,0,611
31,0.012970715625853672,8.233813652819855,8.222833825698505,16,0.8,0,631
32,0.012841008469595135,8.231857849688021,8.222833825698505,18,0.9,0,651
33,0.012712598384899182,8.212520640730762,8.198283936166835,18,0.9,2,671
34,0.01258547240105019,8.214777964656708,8.198283936166835,16,0.8,0,691
35,0.012459617677039687,8.209513172503147,8.198283936166835,19,0.95,0,711
36,0.012335021500269291,8.235737207789597,8.198283936166835,14,0.7,0,731
37,0.012211671285266599,8.26774348409316,8.198283936166835,17,0.85,0,751
38,0.012089554572413933,8.246572307073244,8.198283936166835,14,0.7,0,771
39,0.011968659026689794,8.244993315931474,8.198283936166835,18,0.9,0,791
40,0.011848972436422895,8.245182911917054,8.198283936166835,16,0.8,0,811
41,0.011730482712058666,8.22141008166127,8.198283936166835,14,0.7,0,831
42,0.01161317788493808,8.21857778997347,8.198283936166835,16,0.8,0,851
43,0.011497046106088699,8.183392390321734,8.183205651456968,16,0.8,1,871
44,0.011382075645027813,8.183414361211875,8.183205651456968,18,0.9,0,891
45,0.011268254888577535,8.17932448929141,8.179234627407844,14,0.7,3,911
46,0.01115557233969176,8.129467222731764,8.129467222731764,15,0.75,5,931
47,0.011044016616294842,8.129594447289076,8.129467222731764,13,0.65,0,951
48,0.010933576450131894,8.129352078453746,8.129346791812525,15,0.75,1,971
49,0.010824240685630575,8.130098607763648,8.128761953650717,16,0.8,2,991
50,0.01071599827877427,8.128376518234163,8.128376518234163,17,0.85,1,1011
51,0.010608838295986528,8.12963499733521,8.127027824125296,16,0.8,2,1031
52,0.010502749913026662,8.11062900053048,8.10578041919116,17,0.85,1,1051
53,0.010397722413896394,8.1109625524516,8.10578041919116,15,0.75,0,1071
54,0.01029374518975743,8.12729413258117,8.10578041919116,14,0.7,0,1091
55,0.010190807737859856,8.115524978207606,8.10578041919116,17,0.85,0,1111
56,0.010088899660481258,8.117850434080575,8.10578041919116,19,0.95,0,1131
57,0.009988010663876445,8.1192440254255,8.10578041919116,16,0.8,0,1151
58,0.009888130557237682,8.12238682128904,8.10578041919116,19,0.95,0,1171
59,0.009789249251665305,8.120558955568551,8.10578041919116,18,0.9,0,1191
60,0.009691356759148652,8.121183257513495,8.10578041919116,15,0.75,0,1211
61,0.009594443191557165,8.125879753891981,8.10578041919116,16,0.8,0,1231
62,0.009498498759641594,8.12773558763664,8.10578041919116,16,0.8,0,1251
63,0.009403513772045178,8.11310851043503,8.10578041919116,18,0.9,0,1271
64,0.009309478634324726,8.1131156660495,8.10578041919116,19,0.95,0,1291
65,0.009216383847981478,8.11400402399283,8.10578041919116,16,0.8,0,1311
66,0.009124220009501664,8.11400402399283,8.10578041919116,16,0.8,0,1331
67,0.009032977809406647,8.11333457147113,8.10578041919116,19,0.95,0,1351
68,0.00894264803131258,8.125455013200465,8.10578041919116,16,0.8,0,1371
69,0.008853221550999454,8.131333110403911,8.10578041919116,17,0.85,0,1391
70,0.00876468933548946,8.141368234335314,8.10578041919116,13,0.65,0,1411
71,0.008677042442134564,8.1410900801898,8.10578041919116,16,0.8,0,1431
72,0.00859027201771322,8.142313144979203,8.10578041919116,15,0.75,0,1451
73,0.008504369297536087,8.139972107468157,8.10578041919116,14,0.7,0,1471
74,0.008419325604560726,8.129524523214188,8.10578041919116,16,0.8,0,1491
75,0.008335132348515118,8.129063116552935,8.10578041919116,15,0.75,0,1511
76,0.008251781025029967,8.126774388943637,8.10578041919116,16,0.8,0,1531
77,0.008169263214779668,8.127401950472027,8.10578041919116,14,0.7,0,1551
78,0.00808757058263187,8.12619005340843,8.10578041919116,18,0.9,0,1571
79,0.008006694876805552,8.122147136685754,8.10578041919116,14,0.7,0,1591
80,0.007926627928037496,8.116090216099797,8.10578041919116,14,0.7,0,1611
