temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.004571003753597731,8.561540814049154,8.561540814049154,18,0.9,0,31
2,0.004525293716061754,8.561792771235417,8.561540814049154,18,0.9,0,51
3,0.0044800407789011365,8.561718622599948,8.561540814049154,17,0.85,0,71
4,0.004435240371112125,8.48226860069593,8.482125947403436,20,1.0,2,91
5,0.004390887967401004,8.481042438369261,8.48068483907985,14,0.7,1,111
6,0.004346979087726994,8.480754161936295,8.48068483907985,16,0.8,0,131
7,0.004303509296849724,8.481750917864584,8.48068483907985,17,0.85,0,151
8,0.004260474203881227,8.483107296050527,8.48068483907985,18,0.9,0,171
9,0.004217869461842415,8.483245394048124,8.48068483907985,17,0.85,0,191
10,0.004175690767223991,8.244378108627945,8.244378108627945,14,0.7,1,211
11,0.004133933859551751,8.244444364156601,8.24414337603057,17,0.85,4,231
12,0.004092594520956234,8.243953838325222,8.243383802864157,17,0.85,3,251
13,0.004051668575746671,8.241907118696693,8.241907118696693,14,0.7,2,271
14,0.004011151889989205,8.244156051227954,8.241907118696693,15,0.75,0,291
15,0.003971040371089312,8.244794499890272,8.241907118696693,12,0.6,0,311
16,0.0039313299673784195,8.244819230895958,8.241907118696693,18,0.9,0,331
17,0.0038920166677046354,8.247354145863781,8.241907118696693,18,0.9,0,351
18,0.003853096501027589,8.244165300271513,8.241907118696693,13,0.65,0,371
19,0.0038145655360173132,8.243844625896795,8.241907118696693,16,0.8,0,391
20,0.00377641988065714,8.245294414821425,8.241907118696693,15,0.75,0,411
21,0.0037386556818505686,8.245335391823057,8.241907118696693,18,0.9,0,431
22,0.003701269125032063,8.245346966283124,8.241907118696693,18,0.9,0,451
23,0.003664256433781742,8.245451876773812,8.241907118696693,17,0.85,0,471
24,0.003627613869443925,8.24480778522394,8.241907118696693,17,0.85,0,491
25,0.0035913377307494857,8.255174913266277,8.241907118696693,16,0.8,0,511
26,0.0035554243534419907,8.246378437332195,8.241907118696693,14,0.7,0,531
27,0.003519870109907571,8.246047622970757,8.241907118696693,14,0.7,0,551
28,0.0034846714088084953,8.247465107077327,8.241907118696693,14,0.7,0,571
29,0.0034498246947204103,8.233931351417995,8.233931351417995,15,0.75,3,591
30,0.0034153264477732063,8.23413949821346,8.233931351417995,16,0.8,0,611
31,0.003381173183295474,8.230718004688953,8.230718004688953,13,0.65,1,631
32,0.0033473614514625194,8.230752587819335,8.230718004688953,19,0.95,0,651
33,0.003313887836947894,8.232773186155734,8.230718004688953,16,0.8,0,671
34,0.003280748958578415,8.230779094678132,8.230718004688953,14,0.7,0,691
35,0.0032479414689926306,8.232398945688024,8.230718004688953,14,0.7,0,711
36,0.0032154620543027044,8.204687349819563,8.204481477623652,17,0.85,1,731
37,0.0031833074337596773,8.204935975811091,8.204481477623652,16,0.8,0,751
38,0.0031514743594220807,8.188864474531574,8.188864474531574,16,0.8,1,771
39,0.00311995961582786,8.19634997742311,8.188864474531574,16,0.8,0,791
40,0.0030887600196695814,8.15600814610841,8.15600814610841,18,0.9,1,811
