temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.04870125719977392,26.03796171944748,26.01517282992763,8,0.8,0,21
2,0.043831131479796524,26.114235608884986,26.01517282992763,3,0.3,0,31
3,0.039448018331816874,25.953059030002624,25.953059030002624,8,0.8,3,41
4,0.035503216498635186,26.071936535700612,25.953059030002624,5,0.5,0,51
5,0.03195289484877167,26.049131179379902,25.953059030002624,5,0.5,0,61
6,0.0287576053638945,26.00730729633093,25.953059030002624,6,0.6,0,71
7,0.02588184482750505,25.99606029132859,25.953059030002624,3,0.3,0,81
8,0.02329366034475455,25.92878163191215,25.92878163191215,4,0.4,2,91
9,0.020964294310279095,26.018585425846403,25.919720941683188,5,0.5,1,101
10,0.018867864879251187,26.029570820034834,25.919720941683188,5,0.5,0,111
11,0.01698107839132607,25.99725147858929,25.919720941683188,4,0.4,0,121
12,0.015282970552193463,26.011120224022452,25.919720941683188,6,0.6,0,131
13,0.013754673496974117,25.996900700155738,25.919720941683188,3,0.3,0,141
14,0.012379206147276705,26.009427566572928,25.919720941683188,1,0.1,0,151
15,0.011141285532549035,25.92888987730357,25.919720941683188,3,0.3,0,161
16,0.010027156979294133,25.864227400344085,25.858227408573295,9,0.9,2,171
17,0.009024441281364719,25.83542478873897,25.83542478873897,7,0.7,2,181
18,0.008121997153228247,25.818991033071143,25.818991033071143,3,0.3,3,191
19,0.007309797437905422,25.78805160930387,25.78805160930387,3,0.3,1,201
20,0.00657881769411488,25.7897245960619,25.78805160930387,1,0.1,0,211
21,0.005920935924703392,25.822439343820758,25.78805160930387,3,0.3,0,221
22,0.005328842332233053,25.8354982693541,25.78805160930387,2,0.2,0,231
23,0.004795958099009748,25.833186456175795,25.78805160930387,3,0.3,0,241
24,0.004316362289108773,25.837698577438324,25.78805160930387,2,0.2,0,251
25,0.003884726060197896,25.780049627924598,25.780049627924598,4,0.4,2,261
26,0.0034962534541781065,25.771558320170538,25.771558320170538,2,0.2,2,271
27,0.0031466281087602957,25.758875733018687,25.758875733018687,2,0.2,2,281
28,0.0028319652978842664,25.726185168823747,25.726185168823747,1,0.1,1,291
29,0.00254876876809584,25.724594583055396,25.724594583055396,1,0.1,1,301
30,0.002293891891286256,25.723282314894817,25.723282314894817,1,0.1,1,311
31,0.0020645027021576304,25.717478440223434,25.717478440223434,2,0.2,2,321
32,0.0018580524319418675,25.71137867762262,25.71137867762262,1,0.1,1,331
33,0.0016722471887476809,25.71137867762262,25.71137867762262,0,0.0,0,341
34,0.0015050224698729129,25.71137867762262,25.71137867762262,0,0.0,0,351
35,0.0013545202228856215,25.702516014316004,25.702516014316004,2,0.2,2,361
36,0.0012190682005970594,25.702516014316004,25.702516014316004,0,0.0,0,371
37,0.0010971613805373535,25.702516014316004,25.702516014316004,0,0.0,0,381
