temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
1,0.08025584600987476,26.20078148909103,26.01517282992764,17,0.85,0,31
2,0.07624305370938102,26.288333045605146,26.01517282992764,17,0.85,0,51
3,0.07243090102391196,26.240968589782508,26.01517282992764,14,0.7,0,71
4,0.06880935597271635,26.30980465180614,26.01517282992764,14,0.7,0,91
5,0.06536888817408053,26.091290360865536,26.01517282992764,14,0.7,0,111
6,0.062100443765376497,26.158368547339716,26.01517282992764,14,0.7,0,131
7,0.058995421577107666,26.32309774854558,26.01517282992764,16,0.8,0,151
8,0.05604565049825228,26.1939143666994,26.01517282992764,12,0.6,0,171
9,0.053243367973339666,25.999782202419546,25.999782202419546,16,0.8,4,191
10,0.05058119957467268,26.006219640118825,25.999782202419546,16,0.8,0,211
11,0.04805213959593904,25.938004058588458,25.93716116379767,14,0.7,4,231
12,0.04564953261614209,26.013644330636108,25.93716116379767,12,0.6,0,251
13,0.04336705598533498,26.141096242288,25.93716116379767,14,0.7,0,271
14,0.04119870318606823,25.926101611694946,25.917944462446023,14,0.7,2,291
15,0.03913876802676482,25.949123140267638,25.917944462446023,16,0.8,0,311
16,0.03718182962542657,26.098875244126344,25.917944462446023,15,0.75,0,331
17,0.03532273814415524,26.063506856983494,25.917944462446023,15,0.75,0,351
18,0.03355660123694748,26.037366639713753,25.917944462446023,13,0.65,0,371
19,0.03187877117510011,25.995978180656806,25.917944462446023,14,0.7,0,391
20,0.0302848326163451,25.99714830691742,25.917944462446023,15,0.75,0,411
21,0.028770590985527845,26.030202066620177,25.917944462446023,8,0.4,0,431
22,0.027332061436251453,26.0355867887234,25.917944462446023,16,0.8,0,451
23,0.02596545836443888,25.981430106839152,25.917944462446023,11,0.55,0,471
24,0.024667185446216933,25.9880582079331,25.917944462446023,14,0.7,0,491
25,0.023433826173906085,25.95734675825787,25.91181851253595,15,0.75,2,511
26,0.02226213486521078,25.856431651520932,25.85084606034615,12,0.6,2,531
27,0.021149028121950242,25.932744285757938,25.85084606034615,15,0.75,0,551
28,0.020091576715852728,25.925176874299282,25.85084606034615,10,0.5,0,571
29,0.01908699788006009,25.93507193841042,25.85084606034615,10,0.5,0,591
30,0.018132647986057085,25.844490661024004,25.83644123309051,9,0.45,1,611
31,0.01722601558675423,25.841009286083604,25.832594583400592,10,0.5,1,631
32,0.016364714807416518,25.84235320918778,25.832594583400592,9,0.45,0,651
33,0.015546479067045692,25.834026538511004,25.832594583400592,8,0.4,0,671
34,0.014769155113693406,25.849942963039503,25.832594583400592,12,0.6,0,691
35,0.014030697358008735,25.87454435075934,25.832594583400592,14,0.7,0,711
36,0.013329162490108298,25.913638814512503,25.832594583400592,14,0.7,0,731
37,0.012662704365602883,25.93388095368178,25.832594583400592,14,0.7,0,751
38,0.01202956914732274,25.847280742325385,25.832594583400592,8,0.4,0,771
39,0.011428090689956602,25.859607596445546,25.832594583400592,6,0.3,0,791
