run,demand_mw,renewable_potential_mw,pre_network_dispatch_down_mw,network_group_dispatch_down_mw,security_backstop_dispatch_down_mw,security_thermal_redispatch_mw,total_network_dispatch_down_mw,total_dispatch_down_mw,renewable_accepted_mw,first_group,activation_sequence,represented_security_pass,all_line_n1_pass,worst_base_loading_pct,worst_n1_loading_pct,worst_n1_monitored_line,worst_n1_outage,planned_outage,estimated_line_losses_mw,calibration_residual_mw,calibrated_total_dispatch_down_mw,calibrated_renewable_accepted_mw,physical_dispatch_down_pct_of_case,calibrated_dispatch_down_pct_of_case
1,1332.9890707313937,279.344328368195,0.0,0.0,0.0,0.0,0.0,0.0,279.344328368195,,None,True,False,79.54582239321189,102.0901030220908,74011-74511-1,70510-78511-1,Intact,15.191530085665743,42.14640026228388,42.14640026228388,237.19792810591113,0.0,15.087616243538704
2,1337.2996410559067,312.24970128204626,0.0,0.0,0.0,0.0,0.0,0.0,312.24970128204626,,None,True,False,87.30873950574427,108.9160806677371,74011-74511-1,70510-78511-1,Intact,12.28928070850606,49.141799298448014,49.141799298448014,263.10790198359825,0.0,15.737981204362987
3,1053.3009949321322,399.47502594491266,0.0,0.0,0.0,0.0,0.0,0.0,399.47502594491266,,None,True,True,73.19428183921974,78.40786778900932,74011-74511-1,70510-78511-1,Intact,7.992878412581224,90.75934181300003,90.75934181300003,308.7156841319126,0.0,22.71965352485281
4,1420.1996099419575,496.0145052358064,0.0,0.0,0.0,0.0,0.0,0.0,496.0145052358064,,None,True,False,114.2153488263039,138.58702345796948,74011-74511-1,70510-78511-1,Intact,15.032293032460581,99.38692960444698,99.38692960444698,396.6275756313594,0.0,20.037101446700277
5,1405.2253035274953,186.29990872842464,0.0,0.0,0.0,0.0,0.0,0.0,186.29990872842464,,None,True,False,67.2454475942695,113.5287316468947,74011-74511-1,70510-78511-1,Intact,13.89656155143837,23.16470296146297,23.16470296146297,163.13520576696166,0.0,12.434092490743462
6,1544.3467044446502,140.05965627474714,0.0,0.0,0.0,0.0,0.0,0.0,140.05965627474714,,None,True,False,89.93374504880556,117.92447431653572,74011-74511-1,70510-78511-1,Intact,15.222676812407457,14.890089921748082,14.890089921748082,125.16956635299906,0.0,10.631248367866212
7,1371.7167605208008,88.63246284440821,0.0,0.0,0.0,0.0,0.0,0.0,88.63246284440821,,None,True,False,130.066549390797,147.52330476597598,81010-84011-1,84011-90011-1,Intact,18.316257930451147,9.506429208535161,9.506429208535161,79.12603363587304,0.0,10.725674209486234
8,1495.5625719652803,303.45475809751736,0.0,0.0,0.0,0.0,0.0,0.0,303.45475809751736,,None,True,False,81.06512608287143,190.63748531500258,74011-74511-1,70510-78511-1,Intact,14.856056361648525,41.99548376719053,41.99548376719053,261.4592743303268,0.0,13.839125156737525
9,1250.4953744120025,464.517276185343,0.0,0.0,0.0,0.0,0.0,0.0,464.517276185343,,None,True,False,95.64910675337077,138.730025422323,74011-74511-1,70510-78511-1,Intact,15.871934757859618,97.74430024269202,97.74430024269202,366.772975942651,0.0,21.04212378178415
10,1165.2110039742627,207.78810907743966,0.0,0.0,0.0,0.0,0.0,0.0,207.78810907743966,,None,True,False,58.12214745509603,114.73870837487587,74011-74511-1,70510-78511-1,Intact,10.543652748189986,33.38228031905558,33.38228031905558,174.40582875838408,0.0,16.065539297349535
