line,overload_pct_before_group_actions,worst_base_line_pct_of_runs,mean_initial_loading_pct,max_initial_loading_pct,thermal_limit_mw
86512-90012-2,9.075,26.2,67.89750096010403,205.57594428193877,82.0
90011-90511-1,5.465,17.54,61.734800792582995,188.96577439917647,79.0
74511-82511-1,3.17,9.305,52.014924091872174,180.6190078462744,66.0
76513-80012-1,2.26,7.275,49.378073309658994,170.66608125293797,69.0
72512-74512-2,1.925,7.965,52.2133706593087,169.1211458472329,82.0
73012-76512-2,1.355,5.205,46.41748056261296,233.51963305430243,75.0
74512-88012-2,1.32,5.285,47.974643290501184,172.50293413971235,82.0
72010-83012-2,0.535,2.76,41.26214459584724,171.84031191249446,79.0
76810-77210-1,0.51,7.075,44.96123432073433,114.9018744083758,187.0
81010-84011-1,0.34,2.34,37.58686490191325,132.03544655239662,82.0
74011-78511-1,0.24,3.175,52.542227449346605,116.14594942010102,69.0
75510-84412-2,0.18,1.215,35.17648427494019,139.6084407539627,82.0
71511-90012-1,0.145,0.995,33.95097068368516,157.61255912749678,82.0
75510-89311-1,0.135,0.51,30.328667044229178,146.35236778736888,82.0
75010-84511-1,0.115,0.91,30.816436129969436,129.64756304708732,82.0
76810-87510-2,0.08,0.125,25.586117207681177,147.28383338965006,199.0
75510-83510-1,0.065,0.085,18.53306843965981,135.84537463932594,82.0
75010-75510-1,0.065,0.035,17.827198034993913,128.55972205205342,82.0
76810-87510-1,0.055,0.175,25.469680660025297,139.9979508164949,199.0
75810-81510-1,0.045,0.985,38.96705099837447,118.35258878274496,82.0
75010-83510-1,0.02,0.0,17.132551017659644,111.45086178482475,82.0
76512-81010-2,0.005,0.0,24.1757711263611,121.62480888244924,144.0
71012-81510-2,0.005,0.05,21.986974016767142,121.14253095647807,109.0
75010-87900-1,0.005,0.005,30.462153802027622,103.35845111267794,186.0
74512-86312-2,0.005,0.165,28.426261618516925,101.88278010211239,109.0
74511-76011-1,0.0,0.395,34.994538718625336,97.97277113128834,132.0
74511-76012-2,0.0,0.055,27.659868300547515,93.30116190078222,132.0
74011-74511-1,0.0,0.0,11.670091323703183,89.52011055565372,69.0
80011-81010-1,0.0,0.005,16.367868801673477,88.91708496700514,144.0
75510-89510-1,0.0,0.03,17.805525280994413,88.56542692854013,143.0
70510-78511-1,0.0,0.11,43.647307346991475,88.07823023952801,143.0
76511-81010-1,0.0,0.01,22.711846904542945,87.97442401200107,144.0
74712-76012-2,0.0,0.0,25.354879275500707,85.52606507571568,144.0
77010-90310-2,0.0,0.0,26.75502236392132,82.11846639918043,109.0
73500-73510-1,0.0,0.0,29.60760753294774,81.80555555555566,144.0
80012-81010-2,0.0,0.0,23.660326794211535,81.77749726703269,144.0
81510-87900-1,0.0,0.0,19.172928315058147,81.60555508221918,185.0
76810-79010-1,0.0,0.0,14.849416589160459,81.45821602465193,82.0
76810-79010-2,0.0,0.0,14.849416589160459,81.45821602465193,82.0
71011-81510-1,0.0,0.005,11.242225197745299,80.52019978324141,109.0
77010-90310-1,0.0,0.0,25.71657733111836,78.93119515067598,109.0
81810-89510-1,0.0,0.0,9.484998695435536,78.15903102252769,143.0
75510-75511-1,0.0,0.01,20.61402358233596,78.1201338114592,200.0
70010-79010-1,0.0,0.0,19.729142584491182,76.7110931383462,109.0
90210-90310-1,0.0,0.0,20.707795887137102,76.33149210101584,186.0
75510-81810-1,0.0,0.0,23.021192291237043,74.52705701901914,143.0
87510-89510-2,0.0,0.0,21.34292061991863,71.03445674737748,82.0
74512-88512-2,0.0,0.0,17.708055784196414,70.55086807102441,144.0
77512-87510-1,0.0,0.0,17.525024092998756,68.23005775125131,186.0
74012-78512-2,0.0,0.0,37.84243110809501,66.72929382767357,69.0
70520-86220-1,0.0,0.0,18.719910783500566,66.10663724156451,710.0
74012-74511-2,0.0,0.0,37.30182494940764,65.77601820156399,70.0
73510-87900-1,0.0,0.0,22.799441094890135,62.99465240641705,187.0
77010-90011-1,0.0,0.0,11.84634070032638,55.40055747896035,79.0
77010-90011-2,0.0,0.0,11.84634070032638,55.40055747896035,79.0
84011-90011-1,0.0,0.0,11.743175817760337,55.12608381965784,82.0
87510-89510-1,0.0,0.0,16.323199026992384,54.32759629811845,109.0
75810-90310-1,0.0,0.0,7.110261757310001,48.25298158989607,109.0
72010-81510-2,0.0,0.0,14.111118867510925,47.74812560818402,109.0
77511-90310-1,0.0,0.0,11.771920773165787,46.70743791255895,157.0
80710-90310-1,0.0,0.0,12.298710880839465,45.720740107385524,200.0
72010-81510-1,0.0,0.0,13.509946543155374,45.713924640492884,109.0
74520-82020-1,0.0,0.0,19.142600321723165,43.45956267537503,710.0
77010-90011-3,0.0,0.0,9.226079829736797,43.14665421523171,108.0
81520-82020-1,0.0,0.0,12.331985668454358,41.60076575687576,710.0
81520-82020-2,0.0,0.0,12.331985668454358,41.60076575687576,710.0
70510-72010-1,0.0,0.0,8.598073388797907,40.843848892318924,82.0
70510-72010-2,0.0,0.0,8.598073388797907,40.843848892318924,82.0
82020-90020-1,0.0,0.0,14.991131867696033,39.214681531579,710.0
81010-84012-2,0.0,0.0,7.717596707655959,37.790166720741425,80.0
84012-90011-2,0.0,0.0,7.717596707655949,37.790166720741425,80.0
77511-90310-2,0.0,0.0,9.382128146333274,37.22546017141464,144.0
