name,v_nom,psse_name,station,jurisdiction,geocode_method
1031,110.0,BALRUNTAGH,BALRUNTAGH,IE,
10619,110.0,ARIGNA_T,ARIGNA_T,IE,
11260,220.0,GLENART,GLENART,IE,
11261,220.0,W_ARKLOW_OFF,ARKLOW_OFF,IE,
1151,110.0,BALLINKNOCKA,BALLINKNOCKA,IE,
1243,365.0,CELTIC,CELTIC,IE,
1244,380.0,CELTIC,CELTIC,IE,
1261,110.0,BALDONNELL,BALDONNELL,IE,
14013,110.0,SRAHNAKILLY,SRAHNAKILLY,IE,
14016,110.0,CROAGHAUN,CROAGHAUN,IE,
14619,110.0,BARRYM T,BARRYM,IE,
14720,220.0,NISA BELCAMP,NISA BELCAMP,IE,
1521,110.0,BOGTOWN,BOGTOWN,IE,
1531,110.0,BALLYADAM,BALLYADAM,IE,
16410,110.0,BALLYMONEEN,BALLYMONEEN,IE,
17420,220.0,DUBLIN ARRAY,DUBLIN ARRAY,IE,
1751,110.0,COOMNACLOHY,COOMNACLOHY,IE,
18010,110.0,COOKSTOWN A,COOKSTOWN A,IE,
18810,110.0,BALLYNADRIDE,BALLYNADRIDE,IE,
1911,110.0,CUILLEEN,CUILLEEN,IE,
2011,110.0,CORBETSTOWN,CORBETSTOWN,IE,
2061,110.0,CASTLETREASU,CASTLETREASU,IE,
2090,110.0,KNOCKRANNY A,KNOCKRANNY A,IE,
21210,110.0,COOLSHAMROGE,COOLSHAMROGE,IE,
2151,110.0,DROMBEG,DROMBEG,IE,
2191,110.0,DONORE,DONORE,IE,
2211,110.0,DENNISTOWN,DENNISTOWN,IE,
2231,110.0,DERRYBRIEN,DERRYBRIEN,IE,
2271,110.0,DERRYLAHAN,DERRYLAHAN,IE,
2281,110.0,DALTON_A1,DALTON_A1,IE,
22811,110.0,DALTON_A2,DALTON_A2,IE,
22861,110.0,DALT_CAP,DALT,IE,
23019,110.0,DUNFIR_T,DUNFIR_T,IE,
2312,220.0,DERRYGREENAG,DERRYGREENAG,IE,
2331,110.0,FERRY VIEW,FERRY VIEW,IE,
