name,psse_name,station,v_nom,x,y,geocode_method,reason
1031,BALRUNTAGH,BALRUNTAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
10619,ARIGNA_T,ARIGNA_T,110.0,0.0,0.0,,"coordinates are (0, 0)"
11260,GLENART,GLENART,220.0,0.0,0.0,,"coordinates are (0, 0)"
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,0.0,0.0,,"coordinates are (0, 0)"
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,0.0,0.0,,"coordinates are (0, 0)"
1243,CELTIC,CELTIC,365.0,0.0,0.0,,"coordinates are (0, 0)"
1244,CELTIC,CELTIC,380.0,0.0,0.0,,"coordinates are (0, 0)"
1261,BALDONNELL,BALDONNELL,110.0,0.0,0.0,,"coordinates are (0, 0)"
14013,SRAHNAKILLY,SRAHNAKILLY,110.0,0.0,0.0,,"coordinates are (0, 0)"
14016,CROAGHAUN,CROAGHAUN,110.0,0.0,0.0,,"coordinates are (0, 0)"
14619,BARRYM T,BARRYM,110.0,0.0,0.0,,"coordinates are (0, 0)"
14720,NISA BELCAMP,NISA BELCAMP,220.0,0.0,0.0,,"coordinates are (0, 0)"
1521,BOGTOWN,BOGTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
1531,BALLYADAM,BALLYADAM,110.0,0.0,0.0,,"coordinates are (0, 0)"
16410,BALLYMONEEN,BALLYMONEEN,110.0,0.0,0.0,,"coordinates are (0, 0)"
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,0.0,0.0,,"coordinates are (0, 0)"
1751,COOMNACLOHY,COOMNACLOHY,110.0,0.0,0.0,,"coordinates are (0, 0)"
18010,COOKSTOWN A,COOKSTOWN A,110.0,0.0,0.0,,"coordinates are (0, 0)"
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,0.0,0.0,,"coordinates are (0, 0)"
1911,CUILLEEN,CUILLEEN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2011,CORBETSTOWN,CORBETSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2061,CASTLETREASU,CASTLETREASU,110.0,0.0,0.0,,"coordinates are (0, 0)"
2090,KNOCKRANNY A,KNOCKRANNY A,110.0,0.0,0.0,,"coordinates are (0, 0)"
21210,COOLSHAMROGE,COOLSHAMROGE,110.0,0.0,0.0,,"coordinates are (0, 0)"
2151,DROMBEG,DROMBEG,110.0,0.0,0.0,,"coordinates are (0, 0)"
2191,DONORE,DONORE,110.0,0.0,0.0,,"coordinates are (0, 0)"
2211,DENNISTOWN,DENNISTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2231,DERRYBRIEN,DERRYBRIEN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2271,DERRYLAHAN,DERRYLAHAN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2281,DALTON_A1,DALTON_A1,110.0,0.0,0.0,,"coordinates are (0, 0)"
22811,DALTON_A2,DALTON_A2,110.0,0.0,0.0,,"coordinates are (0, 0)"
22861,DALT_CAP,DALT,110.0,0.0,0.0,,"coordinates are (0, 0)"
23019,DUNFIR_T,DUNFIR_T,110.0,0.0,0.0,,"coordinates are (0, 0)"
2312,DERRYGREENAG,DERRYGREENAG,220.0,0.0,0.0,,"coordinates are (0, 0)"
2331,FERRY VIEW,FERRY VIEW,110.0,0.0,0.0,,"coordinates are (0, 0)"
2341,CAHERHURLY,CAHERHURLY,110.0,0.0,0.0,,"coordinates are (0, 0)"
2351,EFFERNOGE,EFFERNOGE,110.0,0.0,0.0,,"coordinates are (0, 0)"
2441,BELLEWSTOWN,BELLEWSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2481,FASS EAST,FASS EAST,110.0,0.0,0.0,,"coordinates are (0, 0)"
24819,FASSAROE_T,FASSAROE_T,110.0,0.0,0.0,,"coordinates are (0, 0)"
2491,FASS WEST,FASS WEST,110.0,0.0,0.0,,"coordinates are (0, 0)"
2541,FRN ST A,FRN ST A,110.0,0.0,0.0,,"coordinates are (0, 0)"
2551,FRN ST B,FRN ST B,110.0,0.0,0.0,,"coordinates are (0, 0)"
2581,FINGLAS B5,FINGLAS B5,110.0,0.0,0.0,,"coordinates are (0, 0)"
2601,FIRLOUGH,FIRLOUGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
2641,GRAHOMICK,GRAHOMICK,110.0,0.0,0.0,,"coordinates are (0, 0)"
2651,GARRINTAGGAR,GARRINTAGGAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
2661,AGHALEAGUE,AGHALEAGUE,110.0,0.0,0.0,,"coordinates are (0, 0)"
2712,GLANSILLAGH,GLANSILLAGH,220.0,0.0,0.0,,"coordinates are (0, 0)"
27219,GRFRAT T,GRFRAT,110.0,0.0,0.0,,"coordinates are (0, 0)"
27460,GI_OFFSHORE,GI_OFFSHORE,220.0,0.0,0.0,,"coordinates are (0, 0)"
2892,GLENCLOOSAGH,GLENCLOOSAGH,220.0,0.0,0.0,,"coordinates are (0, 0)"
2921,HARRISTOWN,HARRISTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2931,WALTERSTOWN,WALTERSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
2972,HUNTSTOWN 2,HUNTSTOWN 2,220.0,0.0,0.0,,"coordinates are (0, 0)"
3111,BALLYNABRANN,BALLYNABRANN,110.0,0.0,0.0,,"coordinates are (0, 0)"
3181,KILLINSKYDUF,KILLINSKYDUF,110.0,0.0,0.0,,"coordinates are (0, 0)"
32060,KNOCKRAHA OF,KNOCKRAHA OF,220.0,0.0,0.0,,"coordinates are (0, 0)"
33410,BENDINSTOWN,BENDINSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
3361,LAURENCETOWN,LAURENCETOWN,110.0,0.0,0.0,,"coordinates are (0, 0)"
3441,KILVINOGE,KILVINOGE,110.0,0.0,0.0,,"coordinates are (0, 0)"
3481,COOLNANOONAG,COOLNANOONAG,110.0,0.0,0.0,,"coordinates are (0, 0)"
3491,LISLEA,LISLEA,110.0,0.0,0.0,,"coordinates are (0, 0)"
3501,LANESBORO_A1,LANESBORO_A1,110.0,0.0,0.0,,"coordinates are (0, 0)"
35011,LANESBORO_A2,LANESBORO_A2,110.0,0.0,0.0,,"coordinates are (0, 0)"
3511,LICKNY,LICKNY,110.0,0.0,0.0,,"coordinates are (0, 0)"
3550,COOLNABACKY_,COOLNABACKY_,110.0,0.0,0.0,,"coordinates are (0, 0)"
3551,COOLNABACKY,COOLNABACKY,110.0,0.0,0.0,,"coordinates are (0, 0)"
3554,COOLNABACKY,COOLNABACKY,380.0,0.0,0.0,,"coordinates are (0, 0)"
3601,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)"
3611,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)"
3631,FREAGH,FREAGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
3691,LAGHTANVACK,LAGHTANVACK,110.0,0.0,0.0,,"coordinates are (0, 0)"
3841,MAYNOOTH A,MAYNOOTH A,110.0,0.0,0.0,,"coordinates are (0, 0)"
3842,MAYNOOTH A,MAYNOOTH A,220.0,0.0,0.0,,"coordinates are (0, 0)"
3851,MAYNOOTH B,MAYNOOTH B,110.0,0.0,0.0,,"coordinates are (0, 0)"
3852,MAYNOOTH B,MAYNOOTH B,220.0,0.0,0.0,,"coordinates are (0, 0)"
3911,METRO AIRPOR,METRO AIRPOR,110.0,0.0,0.0,,"coordinates are (0, 0)"
3921,METRO NORTH,METRO NORTH,110.0,0.0,0.0,,"coordinates are (0, 0)"
