name,psse_name,station,v_nom,search_name,candidate_rank,text_score,combined_score,voltage_match,review_status,osm_name,osm_lon,osm_lat,osm_voltage,osm_substation,osm_operator,osm_ref,osm_type,osm_id,osm_url,x,y,geocode_method,reason,search_name_normalised,osm_location
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,ARKLOW_OFF,1,90.0,100.0,True,strong candidate,Arklow 220kV Substation,-6.147732,52.8151839,220000;110000;38000;10000,transmission,EirGrid,,way,147525695,https://www.openstreetmap.org/way/147525695,0.0,0.0,,"coordinates are (0, 0)",arklow,
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,ARKLOW_OFF,2,75.0,75.0,False,possible candidate - manual review,Carlow 110kV Substation,-6.8445771,52.8325066,110000;38000,transmission,EirGrid,,way,170568529,https://www.openstreetmap.org/way/170568529,0.0,0.0,,"coordinates are (0, 0)",arklow,
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,ARKLOW_OFF,3,68.4,68.4,False,possible candidate - manual review,Wicklow 38kV Substation,-6.0656179,52.9806614,38000,distribution,ESB Networks,,way,375426379,https://www.openstreetmap.org/way/375426379,0.0,0.0,,"coordinates are (0, 0)",arklow,
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,ARKLOW_OFF,4,62.2,62.2,False,possible candidate - manual review,Mallow Hospital,-8.6627286,52.1509823,10000;400;230,minor_distribution,ESB Networks,022858,way,1265857519,https://www.openstreetmap.org/way/1265857519,0.0,0.0,,"coordinates are (0, 0)",arklow,
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,ARKLOW_OFF,5,60.0,60.0,False,possible candidate - manual review,Mallow 110kV Substation,-8.6206886,52.1431365,110000;38000;10000,transmission,EirGrid,,way,129111454,https://www.openstreetmap.org/way/129111454,0.0,0.0,,"coordinates are (0, 0)",arklow,
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,BALLINKNOCKA,1,66.3,66.3,False,possible candidate - manual review,Ballinacurra 38 kV Substation,-8.6366225,52.6492816,38000,distribution,ESB Networks,,way,429440292,https://www.openstreetmap.org/way/429440292,0.0,0.0,,"coordinates are (0, 0)",ballinknocka,
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,BALLINKNOCKA,2,66.3,66.3,False,possible candidate - manual review,Ballincollig Hill 38kV Substation,-9.6030239,52.3078494,38000,generation,ESB Networks,,way,437215819,https://www.openstreetmap.org/way/437215819,0.0,0.0,,"coordinates are (0, 0)",ballinknocka,
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,BALLINKNOCKA,3,66.3,66.3,False,possible candidate - manual review,Ballincollig 38 kV Substation,-8.6175382,51.8768324,38000;20000;10000,distribution,ESB Networks,,way,517518812,https://www.openstreetmap.org/way/517518812,0.0,0.0,,"coordinates are (0, 0)",ballinknocka,
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,BALLINKNOCKA,4,66.3,66.3,False,possible candidate - manual review,Ballinasloe 38 kV Substation,-8.1874797,53.3214208,38000;10000,distribution,ESB Networks,,way,480699371,https://www.openstreetmap.org/way/480699371,0.0,0.0,,"coordinates are (0, 0)",ballinknocka,
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,BALLINKNOCKA,5,66.3,66.3,False,possible candidate - manual review,Ballinclea 38 kV Substation,-6.1221232,53.2708556,38000;10000,distribution,ESB Networks,,way,1454863639,https://www.openstreetmap.org/way/1454863639,0.0,0.0,,"coordinates are (0, 0)",ballinknocka,
