osm_type,osm_id,osm_name,osm_name_normalised,osm_lat,osm_lon,osm_voltage,osm_substation,osm_operator,osm_ref,osm_location,osm_url
node,11073984704,Ballymaquirke Kiosk,ballymaquirke kiosk,52.1384181,-8.902978,20000,,ESB Networks,1194281,,https://www.openstreetmap.org/node/11073984704
node,13082650790,WESTERN CAR PK KIOSK,western car pk kiosk,52.6743876,-8.5785713,10000,,ESB Networks,067290 Z,,https://www.openstreetmap.org/node/13082650790
node,13120247042,CASTLETROY SEW KIOSK,castletroy sew kiosk,52.6749835,-8.5808402,10000,,ESB Networks,067289 Z,,https://www.openstreetmap.org/node/13120247042
node,13396022634,,,51.9079648,-8.4749007,,minor_distribution,Electricity Supply Board,,,https://www.openstreetmap.org/node/13396022634
node,13701693865,Silversprings Lane 021713X,silversprings lane 021713x,51.9032744,-8.4256562,20000,yes,ESB Networks,021713X,outdoor,https://www.openstreetmap.org/node/13701693865
node,13892230669,Roches Avenue Kiosk,roches avenue kiosk,52.6219129,-8.6629639,10000,minor_distribution,ESB Networks,,,https://www.openstreetmap.org/node/13892230669
way,31330615,110kV Kilbarry Electrical Substation,110kv kilbarry electrical substation,51.9224604,-8.4769397,110000;38000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/31330615
way,79803764,Barnahely 110 kV Substation,barnahely 110 kv substation,51.8284805,-8.3442652,110000;38000;20000,transmission,EirGrid,,,https://www.openstreetmap.org/way/79803764
way,79803767,Raffeen 220 kV Substation,raffeen 220 kv substation,51.8268181,-8.3695668,220000;110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/79803767
way,91799111,Tralee 110kV Substation,tralee 110kv substation,52.2890467,-9.6740021,110000;38000,transmission,EirGrid,,,https://www.openstreetmap.org/way/91799111
way,96765746,Limerick 110kV Substation,limerick 110kv substation,52.634953,-8.6416309,110000;38000,transmission,EirGrid,,,https://www.openstreetmap.org/way/96765746
way,104388595,Knockraha 220kV Substation,knockraha 220kv substation,51.9541985,-8.3194761,220000;110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/104388595
way,104388599,Aghada 220kV Substation,aghada 220kv substation,51.8356384,-8.227215,220000,generation,EirGrid,,,https://www.openstreetmap.org/way/104388599
way,104879388,Mayfield 38 kV Substation,mayfield 38 kv substation,51.9178364,-8.4251943,38000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/104879388
way,129111454,Mallow 110kV Substation,mallow 110kv substation,52.1431365,-8.6206886,110000;38000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/129111454
way,154686756,Castleview 110kV Substation,castleview 110kv substation,51.9009511,-8.3704585,110000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/154686756
way,155512863,Holly Hill 38 kV Substation,holly hill 38 kv substation,51.9075852,-8.5124445,38000;10000,industrial,ESB Networks,,,https://www.openstreetmap.org/way/155512863
way,179211659,Garryspillane 38 kV Substation,garryspillane 38 kv substation,52.4030449,-8.3872414,38000;10000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/179211659
way,179214114,Glanlee 110kV Substation,glanlee 110kv substation,51.925463,-9.3067693,110000,generation,EirGrid,,,https://www.openstreetmap.org/way/179214114
way,179214119,Coomagearlahy Substation,coomagearlahy substation,51.9385387,-9.311485,110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/179214119
way,179214131,Clonkeen 110kV Substation,clonkeen 110kv substation,51.9841297,-9.2997624,110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/179214131
way,179838650,Carrigadrohid 110kV Substation,carrigadrohid 110kv substation,51.8978487,-8.8633008,110000,generation,EirGrid,,,https://www.openstreetmap.org/way/179838650
way,179978277,Kealkill 38kV Substation,kealkill 38kv substation,51.8043465,-9.3218389,38000,generation,ESB Networks,,,https://www.openstreetmap.org/way/179978277
way,180637986,Killonan 220kV Substation,killonan 220kv substation,52.6401871,-8.5454912,220000;110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/180637986
way,186166560,Bandon 110kV Substation,bandon 110kv substation,51.7739278,-8.733195,110000;38000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/186166560
way,186889661,Boggeragh 110kV Substation,boggeragh 110kv substation,52.0384891,-8.9086408,110000;38000;33000,generation,EirGrid,,,https://www.openstreetmap.org/way/186889661
way,186889669,Clashavoon 220 kV Substation,clashavoon 220 kv substation,51.938191,-8.9141082,220000;110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/186889669
way,190919157,Scarteen 38kV Substation,scarteen 38kv substation,52.1423103,-8.675513,38000;20000;10000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/190919157
way,191715059,Cow Cross 110kV Substation,cow cross 110kv substation,51.8651043,-8.3012481,110000;38000;10000,transmission,EirGrid,,,https://www.openstreetmap.org/way/191715059
way,202739744,Tipperary 110kV Substation,tipperary 110kv substation,52.4722096,-8.0672001,110000;38000,transmission,EirGrid,,,https://www.openstreetmap.org/way/202739744
way,207331199,Prospect 220kV Substation,prospect 220kv substation,52.6394329,-9.2533719,220000,transmission,EirGrid,,,https://www.openstreetmap.org/way/207331199
way,207339053,Moneypoint 400kV Station,moneypoint 400kv,52.6103965,-9.4216875,400000;380000;220000;110000,generation,EirGrid,,,https://www.openstreetmap.org/way/207339053
way,207728854,Lakyle North,lakyle north,52.5984217,-9.3336443,220000,transition,EirGrid,,,https://www.openstreetmap.org/way/207728854
way,208124159,Tarbert 220kV Substation,tarbert 220kv substation,52.5885022,-9.3662608,220000,generation,EirGrid,,,https://www.openstreetmap.org/way/208124159
way,208150180,Ahane 110kV Substation,ahane 110kv substation,52.6617276,-8.5076209,110000;10000;20000,transmission,EirGrid,,,https://www.openstreetmap.org/way/208150180
way,209837326,Analog 38-kV substation,analog 38 kv substation,52.6258827,-8.6577504,38000;10000,industrial,ESB Networks,,,https://www.openstreetmap.org/way/209837326
way,209985873,Ballyard 38 kV Substation,ballyard 38 kv substation,52.2565709,-9.7037918,38000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/209985873
way,210253713,Tursilagh 38 kV Substation,tursilagh 38 kv substation,52.3147503,-9.6029683,38000,generation,ESB Networks,,,https://www.openstreetmap.org/way/210253713
way,210260291,Muingnaminnane 38 kV Substation,muingnaminnane 38 kv substation,52.2923931,-9.5350557,38000,generation,ESB Networks,,,https://www.openstreetmap.org/way/210260291
way,210298504,Moneteen 110kV Substation,moneteen 110kv substation,52.6369214,-8.6881456,110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/210298504
way,210599157,Clahane 110kV Substation,clahane 110kv substation,52.3787738,-9.548026,110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/210599157
way,210976327,Abbeyfeale 38 kV Substation,abbeyfeale 38 kv substation,52.3927326,-9.302756,38000;20000;10000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/210976327
way,211017951,Island 38 kV Substation,island 38 kv substation,52.436946,-9.4883339,38000,industrial,ESB Networks,,,https://www.openstreetmap.org/way/211017951
way,211049457,Rathkeale 110kV Substation,rathkeale 110kv substation,52.5436993,-8.9685536,110000;38000;20000,transmission,EirGrid,,,https://www.openstreetmap.org/way/211049457
way,211196263,Aughinish 110kV Substation,aughinish 110kv substation,52.6252455,-9.0514195,110000,transmission,EirGrid,,,https://www.openstreetmap.org/way/211196263
way,211932944,Kenmare 38 kV Substation,kenmare 38 kv substation,51.8908752,-9.574722,38000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/211932944
way,213169697,Kilrush 38 kV Substation,kilrush 38 kv substation,52.6485052,-9.4799923,38000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/213169697
way,213508375,Oughtragh 110kV Substation,oughtragh 110kv substation,52.136625,-9.6927788,110000;38000,transmission,EirGrid,,,https://www.openstreetmap.org/way/213508375
way,216118826,Taurbeg 38 kV Substation,taurbeg 38 kv substation,52.2546998,-9.1351095,38000;20000,generation,ESB Networks,,,https://www.openstreetmap.org/way/216118826
way,217170049,Woodford 38 kV Substation,woodford 38 kv substation,52.0556752,-9.4580376,38000;10000,distribution,ESB Networks,,,https://www.openstreetmap.org/way/217170049
way,217487272,Gneeves 38 kV Substation,gneeves 38 kv substation,52.0143477,-9.1206595,38000,generation,ESB Networks,,,https://www.openstreetmap.org/way/217487272
way,217487275,Garrow 110kV Substation,garrow 110kv substation,52.0026938,-9.131237,110000;20000,generation,EirGrid,,,https://www.openstreetmap.org/way/217487275
way,218565935,Reamore 110kV Substation,reamore 110kv substation,52.302124,-9.5436255,110000;38000,transmission,EirGrid,,,https://www.openstreetmap.org/way/218565935
