name,psse_name,station,v_nom,x,y,geocode_method,reason
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,0.0,0.0,,"coordinates are (0, 0)"
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,0.0,0.0,,"coordinates are (0, 0)"
14619,BARRYM T,BARRYM,110.0,0.0,0.0,,"coordinates are (0, 0)"
14720,NISA BELCAMP,NISA BELCAMP,220.0,0.0,0.0,,"coordinates are (0, 0)"
17420,DUBLIN ARRAY,DUBLIN ARRAY,220.0,0.0,0.0,,"coordinates are (0, 0)"
18810,BALLYNADRIDE,BALLYNADRIDE,110.0,0.0,0.0,,"coordinates are (0, 0)"
2061,CASTLETREASU,CASTLETREASU,110.0,0.0,0.0,,"coordinates are (0, 0)"
22861,DALT_CAP,DALT,110.0,0.0,0.0,,"coordinates are (0, 0)"
23019,DUNFIR_T,DUNFIR_T,110.0,0.0,0.0,,"coordinates are (0, 0)"
2312,DERRYGREENAG,DERRYGREENAG,220.0,0.0,0.0,,"coordinates are (0, 0)"
2481,FASS EAST,FASS EAST,110.0,0.0,0.0,,"coordinates are (0, 0)"
2491,FASS WEST,FASS WEST,110.0,0.0,0.0,,"coordinates are (0, 0)"
2541,FRN ST A,FRN ST A,110.0,0.0,0.0,,"coordinates are (0, 0)"
2551,FRN ST B,FRN ST B,110.0,0.0,0.0,,"coordinates are (0, 0)"
2601,FIRLOUGH,FIRLOUGH,110.0,0.0,0.0,,"coordinates are (0, 0)"
2641,GRAHOMICK,GRAHOMICK,110.0,0.0,0.0,,"coordinates are (0, 0)"
2651,GARRINTAGGAR,GARRINTAGGAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
27219,GRFRAT T,GRFRAT,110.0,0.0,0.0,,"coordinates are (0, 0)"
27460,GI_OFFSHORE,GI_OFFSHORE,220.0,0.0,0.0,,"coordinates are (0, 0)"
3111,BALLYNABRANN,BALLYNABRANN,110.0,0.0,0.0,,"coordinates are (0, 0)"
