name,psse_name,station,v_nom,x,y,geocode_method,reason,osm_found,osm_lon,osm_lat,osm_display_name,osm_type,osm_category,osm_id,osm_url,review_status
1031,BALRUNTAGH,BALRUNTAGH,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.8525868,53.657617,"Balruntagh, Rathmore ED, The Municipal District of Kells, County Meath, Leinster, Éire / Ireland",administrative,boundary,4672607.0,https://www.openstreetmap.org/relation/4672607,candidate
10619,ARIGNA_T,ARIGNA_T,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.1077103,54.0768541,"Arigna, Boyle Municipal District, County Roscommon, Connacht, Éire / Ireland",village,place,52253009.0,https://www.openstreetmap.org/node/52253009,candidate
11260,GLENART,GLENART,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.1976475,52.8114425,"Glenart, Arklow Rural ED, The Municipal District of Arklow, County Wicklow, Leinster, Éire / Ireland",administrative,boundary,4505680.0,https://www.openstreetmap.org/relation/4505680,candidate
11261,W_ARKLOW_OFF,ARKLOW_OFF,220.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
1151,BALLINKNOCKA,BALLINKNOCKA,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
1243,CELTIC,CELTIC,365.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.1277801,52.9948763,"Celtic, L1100, Borrisokane, The Municipal District of Nenagh, County Tipperary, Munster, Éire / Ireland",bookmaker,shop,916214629.0,https://www.openstreetmap.org/node/916214629,candidate
1244,CELTIC,CELTIC,380.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.1277801,52.9948763,"Celtic, L1100, Borrisokane, The Municipal District of Nenagh, County Tipperary, Munster, Éire / Ireland",bookmaker,shop,916214629.0,https://www.openstreetmap.org/node/916214629,candidate
1261,BALDONNELL,BALDONNELL,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.4308799,53.3076629,"Baldonnell Lower, Clondalkin Village DED 1986, Clondalkin, South Dublin, County Dublin, Leinster, D22 E2F6, Éire / Ireland",administrative,boundary,4545176.0,https://www.openstreetmap.org/relation/4545176,candidate
14013,SRAHNAKILLY,SRAHNAKILLY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-9.566667,54.1475,"Srahnakilly, Sheskin ED, Westport-Belmullet Municipal District, County Mayo, Connacht, Éire / Ireland",administrative,boundary,6096215.0,https://www.openstreetmap.org/relation/6096215,candidate
14016,CROAGHAUN,CROAGHAUN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-10.1965449,53.9841026,"Croaghaun, Westport-Belmullet Municipal District, County Mayo, Connacht, Éire / Ireland",peak,natural,332372610.0,https://www.openstreetmap.org/node/332372610,candidate
