eval_index,temperature,current_dd,best_dd,candidate_dd,delta_dd,accepted,best_update,swap_i,swap_j
1,0.08803369634488543,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,182,46
2,0.08795375670134004,8.561540814048579,8.561540814048579,inf,inf,False,False,119,10
3,0.08787388964757417,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,131,37
4,0.08779409511767218,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,221,178
5,0.08771437304577823,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,98,78
6,0.08763472336609629,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,18,112
7,0.08755514601289006,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,111,31
8,0.087475640920483,8.561540814048579,8.561540814048579,inf,inf,False,False,79,54
9,0.08739620802325813,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,135,160
10,0.0873168472556581,8.561540814048579,8.561540814048579,8.561540814048579,0.0,True,False,38,199
11,0.08723755855218505,8.562917788728495,8.561540814048579,8.562917788728495,0.0013769746799159321,True,False,23,74
12,0.08715834184740065,8.562917788728495,8.561540814048579,8.562917788728495,0.0,True,False,104,193
13,0.08707919707592594,8.562917788728495,8.561540814048579,8.562917788728495,0.0,True,False,215,69
14,0.08700012417244138,8.562917788728495,8.561540814048579,8.562917788728495,0.0,True,False,152,33
15,0.08692112307168667,8.56304668154342,8.561540814048579,8.56304668154342,0.00012889281492611815,True,False,193,1
16,0.08684219370846087,8.56304668154342,8.561540814048579,inf,inf,False,False,187,159
17,0.08676333601762214,8.56304668154342,8.561540814048579,8.639125389364263,0.0760787078208427,False,False,113,169
18,0.08668454993408788,8.56304668154342,8.561540814048579,8.56304668154342,0.0,True,False,133,110
19,0.08660583539283452,8.552736803380284,8.552736803380284,8.552736803380284,-0.010309878163136332,True,True,8,33
20,0.08652719232889759,8.552736803380284,8.552736803380284,8.552736803380284,0.0,True,False,58,27
21,0.0864486206773716,8.412063582165867,8.412063582165867,8.412063582165867,-0.14067322121441705,True,True,157,113
22,0.08637012037340994,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,205,135
23,0.08629169135222499,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,137,152
24,0.08621333354908785,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,21,134
25,0.08613504689932848,8.412063582165867,8.412063582165867,inf,inf,False,False,144,7
26,0.08605683133833553,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,83,104
27,0.0859786868015563,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,66,98
28,0.08590061322449677,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,8,56
29,0.08582261054272143,8.412063582165867,8.412063582165867,8.412063582165867,0.0,True,False,205,67
30,0.08574467869185329,8.407913065189625,8.407913065189625,8.407913065189625,-0.004150516976242358,True,True,104,158
31,0.08566681760757383,8.407913065189625,8.407913065189625,8.407913065189625,0.0,True,False,30,133
32,0.08558902722562292,8.407913065189625,8.407913065189625,inf,inf,False,False,239,159
33,0.08551130748179882,8.407913065189625,8.407913065189625,8.407913065189625,0.0,True,False,98,97
34,0.08543365831195804,8.407875357800142,8.407875357800142,8.407875357800142,-3.770738948283281e-05,True,True,77,40
35,0.08535607965201535,8.407875357800142,8.407875357800142,8.407875357800142,0.0,True,False,80,5
36,0.08527857143794373,8.407875357800142,8.407875357800142,inf,inf,False,False,185,173
37,0.0852011336057743,8.40799088526732,8.407875357800142,8.40799088526732,0.00011552746717846674,True,False,167,110
38,0.08512376609159625,8.40799088526732,8.407875357800142,8.40799088526732,0.0,True,False,216,120
39,0.0850464688315568,8.407946432744978,8.407875357800142,8.407946432744978,-4.4452522342197653e-05,True,False,119,167
40,0.08496924176186117,8.407959753967134,8.407875357800142,8.407959753967134,1.332122215558229e-05,True,False,118,107
41,0.08489208481877251,8.41368016201755,8.407875357800142,8.41368016201755,0.0057204080504167365,True,False,57,72
42,0.08481499793861186,8.41368016201755,8.407875357800142,8.41368016201755,0.0,True,False,145,86
43,0.08473798105775802,8.41368016201755,8.407875357800142,8.4232206868304,0.009540524812848616,False,False,82,28
44,0.08466103411264764,8.41368016201755,8.407875357800142,8.41368016201755,0.0,True,False,87,218
45,0.08458415703977504,8.41368016201755,8.407875357800142,8.41368016201755,0.0,True,False,109,63
46,0.08450734977569223,8.41368016201755,8.407875357800142,8.41368016201755,0.0,True,False,63,186
47,0.08443061225700882,8.4137720539888,8.407875357800142,8.4137720539888,9.189197125003545e-05,True,False,189,107
48,0.08435394442039199,8.4137720539888,8.407875357800142,8.4137720539888,0.0,True,False,19,23
49,0.08427734620256644,8.4137720539888,8.407875357800142,8.4137720539888,0.0,True,False,30,109
50,0.08420081754031429,8.4137720539888,8.407875357800142,inf,inf,False,False,173,73
51,0.08412435837047512,8.4137720539888,8.407875357800142,8.4137720539888,0.0,True,False,194,139
52,0.0840479686299458,8.4137720539888,8.407875357800142,8.4137720539888,0.0,True,False,111,205
53,0.08397164825568058,8.413827660788625,8.407875357800142,8.413827660788625,5.560679982430372e-05,True,False,118,172
54,0.08389539718469088,8.412737823480672,8.407875357800142,8.412737823480672,-0.0010898373079530899,True,False,74,150
55,0.08381921535404539,8.412737823480672,8.407875357800142,inf,inf,False,False,33,140
56,0.08374310270086986,8.412737823480672,8.407875357800142,8.412737823480672,0.0,True,False,22,155
57,0.08366705916234722,8.412740156003467,8.407875357800142,8.412740156003467,2.33252279535634e-06,True,False,181,99
58,0.08359108467571738,8.41284821889498,8.407875357800142,8.41284821889498,0.00010806289151332749,True,False,43,118
59,0.08351517917827726,8.411626727050109,8.407875357800142,8.411626727050109,-0.001221491844871636,True,False,158,34
60,0.08343934260738074,8.411626727050109,8.407875357800142,inf,inf,False,False,162,24
61,0.08336357490043857,8.411626727050109,8.407875357800142,8.411626727050109,0.0,True,False,42,141
62,0.0832878759949183,8.414198054072022,8.407875357800142,8.414198054072022,0.0025713270219132056,True,False,71,222
63,0.0832122458283443,8.414042493898563,8.407875357800142,8.414042493898563,-0.00015556017345907946,True,False,107,83
64,0.0831366843382977,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,146,141
65,0.08306119146241625,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,36,230
66,0.08298576713839435,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,112,187
67,0.082910411303983,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,66,116
68,0.08283512389698969,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,105,225
69,0.0827599048552784,8.414042493898563,8.407875357800142,inf,inf,False,False,130,113
70,0.08268475411676955,8.414042493898563,8.407875357800142,8.414042493898563,0.0,True,False,193,64
